MECHANICS			QUANTITIES	UNITS MECHANICS
Item No.	Name	Symbol	Definition	Remarks	Item No.	Name	Inter-  national  symbol	Definition	Conversion factors and remarks
4-1 ( 3-1 )	mass fr masse  (f)	m	mass is one of the seven base quantities in the International; System of Quantities, ISQ, on; which the International System; of Units, SI, is based	Mass is the quantity that can often be measured with a balance.	4-1.a 4-1.b	kilogram tonne	kg t	unit of mass; it is equal to the mass of the international prototype of the kilogram [3 rd  CGPM (1901)] 1t  :=  1 000 kg	Names of decimal multiples and submultiples of the unit of mass are formed by attaching prefixes to the name “gram” [CIPM (1967)]. 1g  =  0,001 kg In the English language, this unit is also called metric ton.	
4-2 ( 3-2 )	mass density, density fr masse  (f) volumique	ρ	ρ  =  d m/ d V where  m  is mass (item 4-1) and  V   is volume (ISO 80000-3:2006, item 3-4)	The systematic name, volumic mass, is not given since the term mass density or density is the established term in the English language.	4-2.a 4-2.b 4-2.c	kilogram per cubic metre tonne per cubic metre kilogram per litre	kg/m 3 t/m 3  kg/l		1 t/m 3  =  1 000 kg/m 3  =  1 g/cm 3  1 kg/l  =  1 000 kg/m 3	
4-3 ( 3-3 )	relative mass  density,  relative   density  fr densité   (f), masse  (f)  volumique relative	d	d  =  ρ/ρ 0 where  ρ  is the mass density; (item 4-2) of a substance and; ρ 0   is the mass density (item; 4-2) of a reference substance; under conditions that should be; specified for both substances	For  ρ 0 , the mass density of liquid water (1 000 kg/m 3 ) is often used.	4-3.a	one	1		See the Introduction, 0.3.2.
4-4 ( 3-4 )	specific volume, massic volume  fr volume  (m) massique	v	v  =  1 /ρ where  ρ  is mass density (item; 4-2)		4-4.a	cubic metre per kilogram	m 3 /kg		
4-5 ( 3-6 )	surface density, areic mass fr masse  (f) surfacique	ρ A	ρ A  =  d m/ d A where  m  is mass (item 4-1) and A  is area (ISO 80000-3:2006, item 3-3)	Surface mass density is also used. The name “grammage” should not be used for this quantity.	4-5.a	kilogram per square metre	kg/m 2		
4-6 ( 3-5 )	linear density, lineic mass fr masse  (f)  linéique	ρ l	ρ l  =  d m/ d l where  m  is mass (item 4-1) and l  is length (ISO 80000-3:2006,; item 3-1.1)	Linear mass density is also used.	4-6.a	kilogram per metre	kg/m		
4-7 ( 3-7 )	mass moment of inertia, moment of inertia fr moment  (m) d'inertie	I ,  J	J Q   =  R   r 2  d m Q where  r Q  is the radial distance (ISO 80000-3:2006, item 3-1.6) from a Q-axis and  m  is mass (item 4-1) J  also appears as a tensor of the second order with J xx     =   R   ( y 2     +   z 2 ) R d m ,   c y c l ., cycl. and  J xy   =   − xy   d m , cycl., cycl., where  x ,  y , and  z  are cartesian coordinates (ISO 80000-3:2006, item 3-1.10)	This quantity should be distinguished   from   item   4-20,   the second   (axial   or   polar)   moment   of area.   If   there   isa   risk   of   confusion, the symbol  J  should be used  for  item   4-7   and   I   for   item   4-20.	4-7.a	kilogram metre squared	kg ·m 2		
4-8 ( 3-8 )	momentum fr quantité  (f) de mouvement	p	for a particle p  =  m  v; where  m  is mass (item 4-1) and; v  is velocity; (ISO 80000-3:2006, item 3-8.1)		4-8.a	kilogram metre per second	kg·m/s		
4-9.1 ( 3-9.1 ); 4-9.2 ( 3-9.2 )	force fr force  (f); weight fr poids  (m)	F; F  g ,  Q	F  =   d p / d t where  p  is momentum (item; 4-8) and  t  is time; (ISO 80000-3:2006, item 3-7); F  g  =  m  g where  m  is mass (item 4-1) and; g   is   local   acceleration   of   free   fall; (ISO 80000-3:2006, item 3-9.2)	If the mass of a particle is constant then  F   =  m  a , where  m  is mass (item 4-1) and  a  is acceleration (ISO 80000-3:2006, item 3-9.1). It should be noted that, when the reference frame is Earth, this quantity comprises not only the local gravitational force but also the local centrifugal force due to the rotation of the Earth. The effect of atmospheric buoyancy is excluded in the weight. [See Comptes rendus, 3 rd  CGPM (1901), p. 70.] In common parlance, the name “weight” continues to be used where “mass” is meant, but this practice is deprecated.	4-9.a	newton	N	1N  :=   1 kg · m/s 2	
4-10 ( 3-14 )	gravitational constant fr constante  (f) de gravitation	G	F  =  G m 1 m 2 /r 2 where  F  is the gravitational force between two particles (item 4-9.1),  m 1  and  m 2  are the masses of the two particles (item 4-1) and  r  is the distance between the two particles (ISO 80000-3:2006, item 3-1.9)	G  =  6,674 2 ( 10 )  ×  10 − 11 N · m 2 / k g 2 [2002 CODATA recommended values] a	4-10.a	newton metre squared per kilogram squared	N·m 2 /kg 2		
4-11 ( 3-10 ); a   Mohr  P.J.  and  Taylor  B.N. 2002  CODATA  recommended values of the fundamental physical constants,  Rev.  Mod. Phys. ,  77  (1), 2005,  pp.   1-107.	impulse fr impulsion  (f)	I	I  =  R  F   d t where  F  is force (item 4-9.1) and  t  is time; (ISO 80000-3:2006, item 3-7)	For a time interval [ t 1 ,   t 2 ], I ( t 1 ,     t 2 ) =   p ( t 2 )   −   p ( t 1 ) =   ∆ p	4-11.a	newton second	N·s		
4-12 ( 3-11 )	moment of momentum, angular momentum fr moment  (m)  cinétique ,  moment  (m)  de quantité de mouvement	L	for a particle L  =  r  ×  p where  r  is position vector; (ISO 80000-3:2006, item; 3-1.11) and  p  is momentum; (item 4-8)	This definition applies to the moment of momentum with respect   to   the   origin   of   the   position vector for the   particle.	4-12.a	kilogram   metre squared per second	kg·m 2 /s		
4-13.1 ( 3-12.1 ); 4-13.2 ( 3-12.3 ); 4-13.3	moment of force fr moment  (m)  de force torque fr moment  (m)  de torsion , torsion  (f) bending moment of force fr moment  (m)  de flexion	M; T; M b	M  =  r  ×  F where  r  is the position vector (ISO 80000-3:2006, item; 3-1.11) and  F  is force (item; 4-9.1); T   =  M  ·  e Q where  M  is the moment of force (item 4-13.1) and  e Q  is a unit vector directed along a Q- axis with respect to which the; torque is considered; component of moment of force perpendicular to the; longitudinal axis of a beam or a; shaft	This definition applies to the moment of force with respect to the origin of the position vector.; Torque is the twisting moment of force with respect to the longitudinal axis of a beam or shaft. This quantity is also denoted  M Q .	4-13.a	newton metre	N·m		The symbol  for  this unit must be written in such a  way  that it cannot be confused with the symbol  for  the millinewton, mN.
4-14 ( 3-13 )	angular impulse fr impulsion  (f) angulaire	H	H  =  R   M   d t where  M  is moment of force; (item 4-13.1) and  t  is time; (ISO 80000-3:2006, item 3-7)	For a time interval [ t 1 ,   t 2 ], H ( t 1 ,     t 2 ) =   L ( t 2 )   −   L ( t 1 ) =   ∆ L	4-14.a	newton metre second	N·m·s		
4-15.1 ( 3-15.1 ); 4-15.2 ( 3-15.2 ); 4-15.3 ( 3-15.3 )	pressure fr pression  (f) normal stress fr contrainte  (f)  normale ,  tension  (f)  normale shear stress fr contrainte  (f) tangentielle	p σ τ	p  =  d F/ d A where d F  is the force (item 4-9.1) component perpendicular to the surface element of area d A (ISO 80000-3:2006, item 3-3); σ  =  d F n / d A where d F n   is the normal; component of force (item 4-9.1); and d A  is the area; (ISO 80000-3:2006, item 3-3) of; the surface element; τ  =  d F t / d A where d F t   is the tangential; component of force (item 4-9.1); and d A  is the area; (ISO 80000-3:2006, item 3-3) of; the surface element	The symbol  p e  is recommended for gauge pressure, defined p  −   p amb , where  p amb   is the ambient pressure. Thus the gauge pressure is positive or negative depending on whether  p  is larger or smaller than  p amb .; The   surface   element   is   generally   a virtual   surface.	4-15.a	pascal	Pa	1 Pa  :=  1 N/m 2	bar (bar), 1 bar  :=  10 5   Pa  =  100 kPa
4-16.1 ( 3-16.1 ); 4-16.2 ( 3-16.2 ); 4-16.3 ( 3-16.3 )	linear strain, (relative elongation)  fr dilatation  (f) linéique relative shear strain fr glissement  (m) unitaire volume strain, (bulk strain) fr dilatation  (f)  volumique  relative	ε , ( e ); γ; ϑ	ε  =  ∆ l/l 0 where  ∆ l  is the increase in; length (ISO 80000-3:2006, item; 3-1.1) and  l 0  is the length; (ISO 80000-3:2006, item 3-1.1); in a reference state to be; specified; γ  =  ∆ x/d where  ∆ x  is the parallel; displacement; (ISO 80000-3:2006, item; 3-1.12) between two surfaces of; a layer of thickness  d; (ISO 80000-3:2006, item 3-1.4); ϑ  =   ∆ V/V 0 where  ∆ V   is the increase in; volume (ISO 80000-3:2006,; item 3-4) and  V 0   is the volume; (ISO 80000-3:2006, item 3-4) in; a reference state to be specified		4-16.a	one	1		See the Introduction, 0.3.2.
