THERMODYNAMICS			QUANTITIES	UNITS				THERMODYNAMICS
Item No.	Name	Symbol	Definition	Remarks	Item No.	Name	Inter-  national  symbol	Definition	Conversion factors and remarks
5-1 ( 4-1 )	thermodynamic temperature fr température  (f)  thermo- dynamique	T  , ( Θ )	one of the base quantities in the International System of Quantities, ISQ, on which the International System of Units, SI, is based	Thermodynamic temperature is the   quantity   that   is   measured   with a primary thermometer, examples of which are constant volume gas thermometers, acoustic thermometers, or total radiation   thermometers.	5-1.a	kelvin	K	unit of thermodynamic temperature that is the fraction 1/273,16 of the thermodynamic temperature of the triple point of water	The units of thermodynamic and Celsius temperature difference or change are identical. Such differences or changes may be expressed either in kelvins, symbol K, or in degrees Celsius, symbol,  ◦ C. It should be noted that the symbol   ◦ C   for   the   degree   Celsius shall be preceded by a space (see  ISO 80000-1:2009 , 7.1.4). The International Temperature Scale of 1990 For the purpose of practical measurements, the International Temperature Scale of 1990, ITS-90, was adopted by CIPM in 1989. The quantities corresponding to thermodynamic temperature and Celsius temperature defined by this scale are denoted  T 90  and  t 90 , respectively (replacing  T 68  and  t 68  defined by the International Practical Temperature Scale of 1968, IPTS-68), where t 90  =   T 90  −   T 0 The units of  T 90  and  t 90  are the kelvin, symbol K, and the degree Celsius, symbol  ◦ C, respectively. For further information, see: The International Temperature  Scale of 1990 (ITS-90),  Metrologia ,  27 (1990), No. 1. The definition of the kelvin refers to water having the isotopic composition defined exactly by the following amount-of- substance ratios: 0,000 155 76 mole of  2 H per mole of  1 H; 0,000 379 9 mole of 17 O per mole of  16 O; and 0,002 005 2 mole of  18 O per mole of  16 O.
5-2 ( 4-2 )	Celsius temperature fr température  (f) Celsius	t ,  ϑ	t  =  T  −   T 0 where  T  is thermodynamic temperature (item 5-1) and  T 0  :=  27 3 ,15 K	The thermodynamic temperature  T 0  is exactly 0,01 K below the thermodynamic temperature of the triple point of water.	5-2.a	degree Celsius	◦ C	special name for the kelvin for use in stating values of Celsius temperature 1  ◦ C  :=  1K  	
5-3.1 ( 4-3.1 ) 5-3.2 ( 4-3.2 ) 5-3.3 ( 4-3.3 )	linear expansion coefficient fr coefficient  (m)  de dilatation linéique cubic expansion coefficient fr coefficient  (m)  de dilatation volumique relative pressure coefficient fr coefficient  (m)  relatif de pression	α l α V  ,  α ,  γ α p	1  d l α l  = l   d T where  l  is length (ISO 80000-3:2006, item 3-1.1) and  T  is thermodynamic temperature (item 5-1) 1  d V α V  = V   d T where  V   is volume (ISO 80000-3:2006, item 3-4) and  T  is thermodynamic temperature (item 5-1) α  =  1  (   p  \ p p  T V where  p  is pressure ( ISO 80000-4:2006,   item 4-15.1),  T  is thermodynamic temperature (item 5-1), and  V  is volume (ISO 80000-3:2006, item 3-4)	The subscripts in the symbols for items 5-3.3 to 5-5.2 may be omitted when there is no risk of confusion.	5-3.a	kelvin to the power minus one	K –1		
5-4 ( 4-4 )	pressure coefficient fr coefficient  (m)  de pression	β	β  =  (    p  \  T   V where  p  is pressure ( ISO 80000-4:2006,   item 4-15.1),  T   is thermodynamic temperature (item 5-1), and  V  is volume (ISO 80000-3:2006, item 3-4)		5-4.a	pascal per kelvin	Pa/K		For the unit pascal, see ISO 80000-4:2006 , item 4-15.a.
5-5.1 ( 4-5-1 ) 5-5.2 ( 4-5.2 )	isothermal  compressibility fr compressibilité  (f) isotherme isentropic  compressibility fr compressibilité  (f) isentropique	κ T κ S	κ =  1  (   V   \ T V  p T where  V   is volume (ISO 80000-3:2006, item 3-4),  p is pressure ( ISO 80000-4:200 6, item 4-15.1) κ  =  1  (   V  \ S V  p S where  V   is volume (ISO 80000-3:2006, item 3-4),  p is pressure ( ISO 80000-4:200 6, item 3-1.1)	T  is thermodynamic temperature (item 5-1). S  is entropy (item 5-18).	5-5.a	pascal to the power minus one	Pa –1		
5-6 ( 4-6 )	heat, amount of heat fr quantité  (f) de chaleur ,  chaleur  (f)	Q	difference between the increase in the total energy (item 5-20.1); of a physical system and the; work done on the system,; provided that the amounts of; substances within the system are not changed	The heat transferred in an isothermal phase transformation; should be expressed as the; change in the appropriate; thermodynamic functions, e.g.; T  · ∆ S , where  T   is thermodynamic temperature; (item 5-1) and  S  is entropy (item; 5-18), or  ∆ H , where  H  is; enthalpy (item 5-20.3).; NOTE   A supply of heat may; correspond to an increase in; thermodynamic temperature or to; other effects, such as phase change; or chemical processes.	5-6.a	joule	J		For the unit joule, see ISO 80000-4:2006 , item 4-27.a.
5-7 ( 4-7 )	heat flow rate fr flux  (m) thermique	Φ	rate at which heat (item 5-6) crosses a given surface		5-7.a	watt	W		
5-8 ( 4-8 )	areic heat flow rate, density of heat flow rate fr densité  (f)  de flux thermique, flux thermique surfacique	q ,  ϕ	q   =  Φ/A where  Φ  is heat flow rate (item; 5-7) and  A  is area; (ISO 80000-3:2006, item 3-3)		5-8.a	watt per square metre	W/m 2		
5-9 ( 4-9 )	thermal conductivity fr conductivité  (f) thermique	λ , ( κ )	areic heat flow rate (item 5-8) divided by temperature (item; 5-1) gradient		5-9.a	watt per metre kelvin	W/(m·K)		
