ELECTROMAGNETISM			QUANTITIES	UNITS				ELECTROMAGNETISM
Item No.	Name	Symbol	Definition	Remarks	Item No.	Name	Inter- national symbol	Definition	Conversion factors and  remarks
6-1 ( 5-1 )	electric current fr courant   (m) électrique	I, i	electric current is one of the base quantities in the International System of Quantities, ISQ,   on; which the International System of Units, SI,   is; based	Electric current is  the quantity that can often be; measured with an ammeter.; The electric current  through; a surface is the quotient  of; the electric charge (item  6-2); transferred through the; surface during a time  interval; by the duration of  that; interval.; For a more complete  defini-; tion, see item 6-8  and; IEC 60050-12 1,; item 121-11-13.	6-1.a	ampere	A	ampere is that constant electric current which, if maintained in two parallel conductors of infinite length, of negligible  circular cross-section, and placed 1 metre apart in vacuum, would  produce between these conductors a force equal to 2      10 –7  newton per metre of length [9 th  CGPM (1948)]	This definition implies that the magnetic  constant    0   (item   6-26.1)   is   exactly 4        10 –7  H/m. In this definition “force” is used instead of “lineic force” or “force per  length”. Accordingly the last unit should  be “newton per metre” without “of  length”.
6-2 ( 5-2 )	electric charge fr charge   (f) électrique	Q ,  q	d Q  =  I d t; where  I  is electric current (item 6-1) and  t  is time (I SO 80000 -3, item  3-7)	Electric charge is carried by discrete particles and can  be; positive or negative. The sign convention is such that the elementary electric; charge  e , i.e. the charge  of; the proton, is  positive.; See  IEC 60050-121,; item121-11-01.; To denote a point charge   q; is often used, and that  is; done in the present; document.	6-2.a	coulomb	C	1 C := 1 A ·  s	The unit ampere hour, is used  for electrolytic devices, such as storage batteries. 1 A · h = 3,6  kC
6-3 ( 5-3 )	electric charge density, volumic electric charge fr charge  (f)  électrique  volumique	    V	   =  d Q d V where  Q  is electric charge (item 6-2) and  V  is volume (I SO 80000 -3, item  3-4)	See  IEC 60050-121,  item 121-11-07.	6-3.a	coulomb per cubic metre	C/m 3		
6-4 ( 5-4 )	surface density of electric charge, areic electric charge fr charge  (f)  électrique  surfacique	 A    	        d Q A     d A where  Q  is electric charge (item 6-2) and  A  is area (I SO 80000- 3, item  3-3)	See  IEC 60050-121,  item 121-11-08.	6-4.a	coulomb per square metre	C/m 2		
6-5 ( 5-5)	linear density of electric charge, lineic electric charge fr charge   (f) électrique linéique	 l  , 	    =  d Q l d l where  Q  is electric charge (item 6-2) and  l  is length (I SO 80000- 3, item  3-1.1)	See  IEC 60050-121,  item121-11-09.	6-5.a	coulomb per metre	C/m		
6-6 ( 5-14 )	electric dipole moment fr moment   (m) électrique  moment  (m)  de dipôle électrique	p	p   =   q ( r +   –   r – ); where   r +   and   r –   are   the   position   vectors   (I SO   80000 -3, item 3-1.11) to carriers of electric charges  q  and – q  (item 6-2),  respectively	The electric dipole moment of a substance within  a; domain is the vector sum of electric dipole moments of all electric dipoles included in the domain.; See  IEC 60050-121,  items; 121-11-35 and 121-11-36.	6-6.a	coulomb metre	C · m		
6-7 ( 5-13 )	electric polarization fr polarisation   (f) électrique	P	P  =  d p / d V where  p  is  electric  dipole moment (item 6-6)  of  a  substance within  a  domain with  volume    V; (I SO 80000 -3, item  3-4)	See  IEC 60050-121,  item 121-11-37.	6-7.a	coulomb per metre squared	C/m 2		
6-8 ( 5-15 )	electric current density, areic electric current fr densité  (f)   de courant électrique	J	J  =  ρ v where     is electric charge density (item 6-3) and  v  is velocity ( ISO 80000- 3, item  3-8.1)	Electric current  I  (item 6-1) through a surface S  is I   =        J      e n   d A S where   e n   d A   is   vector  surface element. See  IEC 60050-121,  item 121-11-11.	6-8.a	ampere per square metre	A/m 2		
6-9 (―)	linear electric current density, lineic electric current fr densité   (f)   linéique   de   courant électrique	J S	J S   =   ρ A v; where   A  is surface density of electric  charge; (item 6-4) and  v  is velocity ( ISO 80000-3 ,  item; 3-8.1)	Electric current  I  (item 6-1) through a curve C on a surface is I        J  S     e n     d r C wh e r e   e n   i s   a   un i t   ve cto r perpendicular to the surface and line vector element and  d r  is the differential  of position vector  r . See  IEC 60050-121,  item 121-11-12.	6-9.a	ampere per metre	A/m		
6-10 ( 5-5 )	electric field strength fr champ   (m) électrique	E	E  =  F / q; where  F  is force (I SO 80000-4 ,  item 4-9.1) and  q  is electric charge (item  6-2)	See IEC 60050, item 121-11-18.; q  is the charge of a test particle at rest.	6-10.a	volt per metre	V/m	1 V/m = 1  N/C	For the definition of the volt, see item 6-11.a.
6-11.1 ( 5-6.1 ) 6-11.2 ( 5-6.2 ) 6-11.3 ( 5-6.3 )	electric potential fr     potential  (m) électrique electric potential difference fr différence   (f)   de   potential électrique voltage, electric tension fr     tension  (f) électrique (The name “voltage”, commonly used in the English language, is given in the IEV but is an exception from the principle that a quantity name should not refer to any name of unit.)	V ,   V ab U ,   U ab	 A – grad  V  =  E  +  t where  E  is electric field strength (item 6- 10),  A  is magnetic vector potential (item 6-32) and  t  is time ( ISO  80000-3 , item 3-7) r b  A V a b   =  (   E           t    )      d r r a  (C) where  E  is electric field strength (item 6- 10),  A  is magnetic vector potential (item 6-32),  t  is time (I SO 80000- 3, item 3-7), and  r  is position vector (I SO  80000- 3, item 3-1.11) along a given curve C from point a to point  b in electric circuit theory, U a b   =   V a   –   V b wh e r e   V a   a n d   V b   a r e   t h e   e l e ctr i c potentials (item 6-11.1) at points a and b, respectively	The electric potential is  not unique, since any constant scalar field quantity can be added to it without changing its gradient. See  IEC 60050-121,  item 121-11-25. V a b   =   V a   –   V b wh e r e   V a   a n d   V b   a r e   t he potentials at points a and b, respectively. See  IEC 60050-121,  item 121-11-26. For an electric field within a medium r b U ab         E     d r r a  (C) where  E  is electric field strength (item 6-10) and  r  is  position vector (I SO 80000- 3, item 3-1.11) along a given curve C from point a to point b. For an irrotational electric field, the voltage is independent of the path between the two points  a and b. See  IEC 60050-121,  item 121-11-27.	6-11.a	volt	V	1 V := 1  W/A	
