LIGHT				QUANTITIES	UNITS				LIGHT
Item No.	Name	Symbol	Definition	Remarks	Item No.	Name	Symbol	Definition	Conversion factors and remarks
7-1 ( 6-2 )	frequency fr fréquence  (f)	ν ,  f	ν  =  1/ T where  T  is the period (ISO 80000-3:2006, item 3-12)	See ISO 80000-3:2006, item 3-15.1, but in spectroscopy,  ν  is mostly used.; Light passing through different; media keeps its frequency, but not; its wavelength or wavenumber.	7-1.a	hertz	Hz	1 Hz  :=  1 s –1	
7-2.1  ( — ); 7-2.2 ( 6.4 )	wavenumber in vacuum fr nombre  (m)  d'onde dans le  vide wavenumber  fr nombre   (m)  d'onde	ν ˜; σ	ν ˜   =   ν / c 0 where  ν  is the frequency (item 7-1) and  c 0  is the speed; (ISO 80000-3:2006, item 3-8.2); of light in vacuum (item 7-4.1); σ  =  ν / c where  ν  is the frequency (item 7-1) and  c  is the speed of light; in medium (item 7-4.2)	See also ISO 80000-3:2006, item 3-18. ν  =  1/ λ 0  where  λ 0  is the; wavelength in vacuum (item; 7-3.1).; See also ISO 80000-3:2006, item 3-18. σ   =   ν ˜ / n   i n   a   m e d i u m   w i t h; refractive index  n  (item 7-5).; σ  =  1/ λ  where  λ  is the; wavelength in medium (item; 7-3.2).; Light passing through different; media keeps its frequency, but not; its wavelength or wavenumber.	7-2.a	metre to power minus one	m –1		The unit for wavenumber commonly used in spectroscopy is centimetre to power minus one, cm –1 , rather than metre to power minus one,  m –1 .
7-3.1; 7-3.2 ( 6-3 )	wavelength in vacuum fr longueur  (f)  d'onde dans le  vide wavelength fr longueur  (f) d'onde	λ 0; λ	for a monochromatic wave, λ 0  =  c 0 / ν; where  ν  is the frequency (item; 7-1) of that wave and  c 0  is the; speed of light in vacuum (item; 7-4.1); for a monochromatic wave, propagating in a medium, λ  =  c / ν where  ν  is the frequency (item 7-1) of that wave and  c  is the phase speed (ISO 80000-3:2006, item 3-8.2) of electromagnetic radiation of a specified frequency	In a medium with refractive index n  (item 7-5),  λ 0  =  nλ; See ISO 80000-3:2006, item 3-17. For a monochromatic wave, wavelength is the distance between two successive points in a direction perpendicular to the wavefront where at a given instant the phase differs by 2 π . λ  =  1/ σ  where  σ  is the wavenumber in medium (item; 7-2.2).; In a medium with refractive index; n  (item 7-5),  λ  =  λ 0 / n; In an anisotropic medium, the; direction of light propagation must; be defined.	7-3.a	metre	m		ångström (Å); 1 Å  :=  10 − 10   m
7-4.1 ( 6-6 ); 7-4.2	speed of light in vacuum, speed of electro- magnetic waves in vacuum fr vitesse  (f)  de la  lumière dans le vide, vitesse  (f)  des  ondes électro- magnétiques dans le vide speed of light fr vitesse  (f)  de la  lumière	c 0; c	speed of electromagnetic waves in vacuum; c 0  :=   299 792 458 m  ·  s − 1; in a medium, the phase speed (ISO 80000-3:2006, item 3-8.2); of electromagnetic radiation in a; given direction and of a; specified frequency	The speed of light in vacuum is a fundamental constant used for; definition of metre. See ISO 80000-3:2006, item 3-1.a and; IEC 80000-6:2008,  item 6-35.2.; In relativity, the terms subluminal,; luminal and superluminal speed; are sometimes used for speed; less than, equal to, or greater than; the speed of light in vacuum.	7-4.a	metre per second	m· s –1		
7-5 ( 6-44 )	refractive index  fr indice  (m)  de  réfraction	n	n  =  c 0 / c where  c 0  is the speed of light; in vacuum (item 7-4.1) and; c  is the phase speed; (ISO 80000-3:2006, item 3-8.2); in a given direction of; electromagnetic radiation of a; specified frequency in a; medium	In a medium,  c  depends upon the frequency  ν  of light used; thus n  =  n ( ν ). For a medium with absorption, complex refractive index  k =  n k 0  may be defined where  k 0  is the wave vector in vacuum and  k  is the complex wave vector in a medium. Then, n   =   n   +   i k   =   n   +   i α / 4 π ν ˜   w h e re  α  is the linear absorption coefficient (item 7-25.2) and i is  the imaginary   unit. For an anisotropic medium,  n  is a tensor.	7-5.a	one	1		See the Introduction, 0.3.2.
7-6 ( 6-7 )	radiant energy fr énergie  (f) rayonnante	Q ,  W  , ( U  ,  Q e )	energy ( ISO 80000-5:2007 , item 5-20.1) emitted, transferred or received as; radiation	Visible radiant energy is called luminous energy (item 7-34). Photonic energy may be; expressed by photon numbers; (item 7-49).	7-6.a	joule	J	1J  :=  1 kg  ·  m 2  ·  s − 2	
7-7 ( 6-8 )	radiant energy density fr énergie  (f)  rayonnante  volumique	w ,  ρ	d Q w  = d V where d Q  is the radiant energy (item 7-6) in an elementary three-dimensional domain, divided by the volume d V (ISO 80000-3:2006, item 3-4) of that domain	The radiant energy density within a blackbody is given by w  =  4 σ  T  4 c 0 where  σ  is the Stefan-Boltzmann constant (item 7-56),  c 0  is the speed of light in vacuum (item 7-4.1) and  T   is the thermodynamic temperature ( ISO 80000-5:2007 , item 5-1). See the Introduction, 0.5.1.	7-7.a	joule per cubic metre	J·m –3		
7-8 ( 6-9 )	spectral radiant energy density in terms of wavelength fr énergie  (f)  rayonnante  spectrique volumique en longueur d'onde	w λ ,  ρ λ	d w  w λ ( λ )  =   d λ where d w  is the infinitesimal part   of   radiant   energy   density   w  (item   7-7)   corresponding   to   light  with   wavelength   λ   (item   7-3.2) in the infinitesimal interval [ λ ,  λ  +  d λ ], divided by the range d λ   of   that   interval	The spectral radiant energy density within a blackbody is given by w λ  =  8 πhc 0  ·  f  ( λ ,  T  ) where  h  is the Planck constant ( ISO 80000-10 :—, item 10-5.1),  c 0 is the speed of light in vacuum (item 7-4.1), and  T  is the thermodynamic temperature ( ISO 80000-5:2007 , item 5-1). For f   ( λ ,   T   ),   see   items   7-57   and   7-58.	7-8.a	joule per metre to the power four	J·m –4		
7-9 ( 6-9 )	spectral radiant energy density in terms of wavenumber fr énergie  (f)  rayonnante  spectrique volumique en longueur d'onde	ρ ν ˜ ,   w ν ˜	d w  w ν ˜ ( ν ˜ )  =    d ν ˜ whe re   d ν ˜   i s   t h e   i nf i ni t e s i m a l  part   of   radiant   energy   density   w  (item   7-7)   corresponding   to   light  wit h   w a v enum b e r   ν ˜   ( i t e m   7 - 3 . 2)  i n   t h e   i n f i n i te s i m a l   in t e r v a l   [ ν ˜ ,  ν ˜   +   d ν ˜ ]   d i v i d e d   b y   t h e   r a nge  d ν ˜   of that   interval	I n   s pe c t r o s c o p y ,   s y m bo l   ρ ν ˜   is  used.	7-9.a	joule per metre squared	J·m –2		
