PHYSICAL CHEMISTRY AND MOLECULAR PHYSICS	QUANTITIES	UNITS			PHYSICAL CHEMISTRY AND MOLECULAR PHYSICS
Item No.	Name	Symbol	Definition	Remarks	Item No.	Name	Inter-  national  symbol	Definition	Conversion factors and remarks
9-1 ( 8 - 3 )	amount of  substance fr quantité  (f)  de  matière	n	amount of substance is one of the seven base quantities in the; International System of Quantities,; ISQ, on which the SI is based	Amount   of   substance   of   a   pure sample   is   that   quantity   that   can; often be determined by; measuring its mass and; dividing by the molar mass of; the sample.; Amount of substance is; defined to be proportional to; the number of specified; elementary entities in a; sample, the proportionality; constant being a universal; constant which is the same for; all samples.; The name “number of moles”; is often used for “amount of; substance”, but this is; deprecated because the name; of a quantity should be; distinguished from the name of; the unit.; In the name “amount of; substance”, the words “of; substance” could, for; simplicity, be replaced by; words to specify the substance; concerned in any particular; application, so that one may,; for example, talk of “amount of; hydrogen chloride, HCl”, or; “amount of benzene, C 6 H 6 ”.; It is important to always give a; precise specification of the; entity involved (as emphasized; in the second sentence of the; definition of the mole); this; should preferably be done by; giving the molecular chemical; formula of the material; involved.	9-1.a	mole	mol	the mole is the amount of substance of a system which contains as many elementary entities as there are atoms in 0,012 kg of carbon 12 [14th CGPM (1971)]	When the mole is used, the elementary entities shall be specified and may be atoms, molecules, ions, electrons, other entities or specified groups of them. The definition applies to unbound atoms of carbon 12, at rest and in their ground state. The mole is also used for entities such as holes and other quasi-particles, double bonds, etc.
9-2.1 ( 8-1.1 ); 9-2.2 ( 8-1.2 )	relative atomic mass fr masse  (f) atomique  relative relative molecular mass fr masse  (f) moléculaire  relative	A r; M r	ratio of the average mass ( ISO 80000-4:2006 , item 4-1) per atom of an element to 1/12 of the mass of an atom of the nuclide  12 C; ratio of the average mass per molecule or specified entity of a substance to 1/12 of the mass of an atom of the nuclide  12 C	EXAMPLE    A r (Cl)  ≈  35,453 The relative atomic or relative molecular mass depends on the nuclidic composition. The International Union of Pure; and Applied Chemistry (IUPAC) accepts the use of the special names “atomic weight” and “molecular weight” for the quantities “relative atomic mass”; and “relative molecular mass”,; respectively. The use of these; traditional names is deprecated.	9-2.a	one	1		See the Introduction, 0.3.2.
9-3 ( 8-2 )	number of particles fr nombre  (m) de particules	N B	N B  equals the number of particles in a system	Different entities may be used as a particle, e.g. number of; molecules, number of atoms.; A subscript added to the symbol; indicates a specific entity, e.g.  N B; for the number of molecules of; substance B.	9-3.a	one	1		See the Introduction, 0.3.2.
9-4 ( 8-4 )	Avogadro constant fr constante  (f) d'Avogadro	L ,  N A	for a pure sample L  =  N/n; where  N  is the number of; particles (item 9-3) and  n  is; amount of substance (item 9-1)	! L   =   6,022   141   7 9 ( 3 0 )   × 1 0 23   mo l − 1 "; [CODATA 2006]	9-4.a	mole to the power minus one	mol –1		
9-5 ( 8-5 )	molar mass fr masse  (f)  molaire	M	for a pure sample M   =  m/n; where  m  is mass; ( ISO 80000-4:2006 , item 4-1); and  n  is amount of substance; (item 9-1)		9-5.a	kilogram per mole	kg/mol		The commonly used unit for molar mass is gram per mole, g/mol, rather than kilogram per mole, kg/mol.
9-6 ( 8-6 )	molar volume fr volume  (m) molaire	V m	for a pure sample V m  =  V /n; where  V   is volume (ISO 80000-3:2006, item 3-4) and  n  is amount of substance (item 9-1)	The molar volume of an ideal gas at 273,15 K and 101 325 Pa is V m  =  0,022 413 996 (39) m 3 /mol; and,   for   273,15   K   and   100   000   Pa, the molar volume   is V m  =  0,022 710 981 (40) m 3 /mol. [CODATA 2006]	9-6.a	cubic metre per mole	m 3 /mol		
9-7 ( 8-7 )	molar internal energy fr énergie (f) interne  molaire	U m	U m  =  U/n where  U  is internal energy ( ISO 80000-5:200 7, item 5-20.2) and  n  is amount of substance (item 9-1)	Similar definitions apply to other thermodynamic functions, for example molar enthalpy,  H m , molar Helmholz energy,  A m , and molar Gibbs energy,  G m . These quantities	9-7.a	joule per mole	J/mol		
9-8 ( 8-8 )	molar heat capacity fr capacité  (f) thermique  molaire	C m	C m  =  C/n where  C  is heat capacity ( ISO 80000-5:200 7, item 5-15) and n  is amount of substance (item 9-1)	are normally only used with reference to pure substances. Molar heat capacity may be defined at constant pressure,  C m, p  or at constant volume,  C m, V  .	9-8.a	joule per mole kelvin	J/(mol· K)		
9-9 ( 8-9 )	molar entropy fr entropie  (f) molaire	S m	S m  =  S/n where  S  is entropy; ( ISO 80000-5:200 7, item 5-18) and; n  is amount of substance (item; 9-1)		9-9.a	joule per mole kelvin	J/(mol· K)		
9-10.1 ( 8-10.1 ); 9-10.2 ( 8-10.2 )	volumic number of molecules or other elementary entities, number density of molecules or other elementary entities fr nombre  (m) volumique  de   molécules ou d'autres entités élémentaires molecular concentration of substance B fr concentration  (f)  moléculaire du  constituant B	n , ( C ); C B	n  =  N/V where  N  is the number of particles; (item 9-3) and  V   is volume; (ISO 80000-3:2006, item 3-4); C B  =  N B /V where  N B  is the number of; molecules of B and  V   is the; volume (ISO 80000-3:2006, item; 3-4) of the mixture		9-10.a	metre to the power minus three	m –3		
9-11.1 ( 8-11.1 ); 9-11.2 ( 8-11.2 )	mass density, density fr masse  (f) volumique mass concentration of substance B fr concentration  (f)  en masse du  constituant B	ρ , ( γ ); ρ B , ( γ B )	ρ  =  m/V where  m  is mass; ( ISO 80000-4:200 6, item 4-1) and; V   is volume (ISO 80000-3:2006,; item 3-4); ρ B  =  m B /V where  m B  is the mass; ( ISO 80000-4:200 6,  item 4-1) of; substance B and  V   is the volume; (ISO 80000-3:2006, item 3-4) of; the mixture		9-11.a 9-11.b	kilogram per cubic metre gram per litre	kg/m 3 g/l		1 g/l  =  1 g/dm 3  =  1 kg/m 3	
9-12 ( 8-12 )	mass fraction of substance B fr fraction  (f) massique du  constituant B	w B	w B  =  m B /m where  m B  is the mass; ( ISO 80000-4:200 6, item 4-1) of; substance B and  m  is the total; mass of the mixture		9-12.a	one	1		See the Introduction, 0.3.2.
